timestamp,keypresses,mousemoves,leftclicks,rightclicks,middleclicks
1772926920,0,0.00,0,0,0
1772927220,0,0.00,0,0,0
1772927520,0,0.00,0,0,0
1772927820,0,0.00,0,0,0
1772928120,0,0.00,0,0,0
1772928420,0,0.00,0,0,0
1772928720,0,0.00,0,0,0
1772929020,0,0.00,0,0,0
1772929320,0,0.00,0,0,0
1772929620,0,0.00,0,0,0
1772929920,0,0.00,0,0,0
1772930220,0,0.00,0,0,0
1772930520,0,0.00,0,0,0
1772930820,0,0.00,0,0,0
1772931120,0,0.00,0,0,0
1772931420,0,0.00,0,0,0
1772931720,0,0.00,0,0,0
1772932020,0,0.00,0,0,0
1772932320,0,0.00,0,0,0
1772932620,0,0.00,0,0,0
1772932920,0,0.00,0,0,0
1772933220,0,0.00,0,0,0
1772933520,0,0.00,0,0,0
1772933820,0,0.00,0,0,0
1772934120,0,0.00,0,0,0
1772934420,0,0.00,0,0,0
1772934720,0,0.00,0,0,0
1772935020,0,0.00,0,0,0
1772935320,0,0.00,0,0,0
1772935620,0,0.00,0,0,0
1772935920,0,0.00,0,0,0
1772936220,0,0.00,0,0,0
1772936520,0,0.00,0,0,0
1772936820,0,0.00,0,0,0
1772937120,0,0.00,0,0,0
1772937420,0,0.00,0,0,0
1772937720,0,0.00,0,0,0
1772938020,0,0.00,0,0,0
1772938320,0,0.00,0,0,0
1772938620,0,0.00,0,0,0
1772938920,0,0.00,0,0,0
1772939220,0,0.00,0,0,0
1772939520,0,0.00,0,0,0
1772939820,0,0.00,0,0,0
1772940120,0,0.00,0,0,0
1772940420,0,0.00,0,0,0
1772940720,0,0.00,0,0,0
1772941020,0,0.00,0,0,0
1772854644,0,0.00,0,0,0
1772854944,0,0.00,0,0,0
1772855244,0,0.00,0,0,0
1772855544,0,0.00,0,0,0
1772855844,0,0.00,0,0,0
1772856144,0,0.00,0,0,0
1772856444,0,0.00,0,0,0
1772856744,0,0.00,0,0,0
1772857044,0,0.00,0,0,0
1772857344,0,0.00,0,0,0
1772857644,0,0.00,0,0,0
1772857944,0,0.00,0,0,0
1772858244,0,0.00,0,0,0
1772858544,0,0.00,0,0,0
1772858844,0,0.00,0,0,0
1772859144,0,0.00,0,0,0
1772859444,0,0.00,0,0,0
1772859744,0,0.00,0,0,0
1772860044,0,0.00,0,0,0
1772860345,0,0.00,0,0,0
1772860645,0,0.00,0,0,0
1772860945,0,0.00,0,0,0
1772861245,0,0.00,0,0,0
1772861545,0,0.00,0,0,0
1772861845,0,0.00,0,0,0
1772862145,0,0.00,0,0,0
1772862445,0,0.00,0,0,0
1772862745,0,0.00,0,0,0
1772863045,0,0.00,0,0,0
1772863345,0,0.00,0,0,0
1772863645,0,0.00,0,0,0
1772863945,0,0.00,0,0,0
1772864245,0,0.00,0,0,0
1772864545,0,0.00,0,0,0
1772864845,0,0.00,0,0,0
1772865145,0,0.00,0,0,0
1772865445,0,0.00,0,0,0
1772865745,0,0.00,0,0,0
1772866045,0,0.00,0,0,0
1772866345,0,0.00,0,0,0
1772866645,0,0.00,0,0,0
1772867944,0,0.00,0,0,0
1772871034,0,0.00,0,0,0
1772873602,0,0.00,0,0,0
1772876816,0,0.00,0,0,0
1772878950,0,0.00,0,0,0
1772879250,0,0.00,0,0,0
1772879550,0,0.00,0,0,0
1772879850,0,0.00,0,0,0
1772880150,0,0.00,0,0,0
1772880450,0,0.00,0,0,0
1772880750,0,0.00,0,0,0
1772881050,0,0.00,0,0,0
1772881350,0,0.00,0,0,0
1772881650,0,0.00,0,0,0
1772881950,0,0.00,0,0,0
1772882250,0,0.00,0,0,0
1772882550,0,0.00,0,0,0
1772882850,0,0.00,0,0,0
1772883150,0,0.00,0,0,0
1772883450,0,0.00,0,0,0
1772883750,0,0.00,0,0,0
1772884050,0,0.00,0,0,0
1772884350,0,0.00,0,0,0
1772884650,0,0.00,0,0,0
1772884950,0,0.00,0,0,0
1772885250,0,0.00,0,0,0
1772885550,0,0.00,0,0,0
1772885850,0,0.00,0,0,0
1772886150,0,0.00,0,0,0
1772886451,0,0.00,0,0,0
1772886751,0,0.00,0,0,0
1772887051,0,0.00,0,0,0
1772887351,0,0.00,0,0,0
1772887651,0,0.00,0,0,0
1772887951,0,0.00,0,0,0
1772888251,0,0.00,0,0,0
1772888551,0,0.00,0,0,0
1772888851,0,0.00,0,0,0
1772889151,0,0.00,0,0,0
1772889451,0,0.00,0,0,0
1772889751,0,0.00,0,0,0
1772890051,0,0.00,0,0,0
1772890351,0,0.00,0,0,0
1772890651,0,0.00,0,0,0
1772890951,0,0.00,0,0,0
1772892257,0,0.00,0,0,0
1772894252,0,0.00,0,0,0
1772894552,0,0.00,0,0,0
1772894852,0,0.00,0,0,0
1772895152,0,0.00,0,0,0
1772895452,0,0.00,0,0,0
1772895752,0,0.00,0,0,0
1772896052,0,0.00,0,0,0
1772896352,0,0.00,0,0,0
1772896652,0,0.00,0,0,0
1772896952,0,0.00,0,0,0
1772897252,0,0.00,0,0,0
1772897552,0,0.00,0,0,0
1772897852,0,0.00,0,0,0
1772898152,0,0.00,0,0,0
1772899370,0,0.00,0,0,0
1772902060,0,0.00,0,0,0
1772904100,0,0.00,0,0,0
1772907359,0,0.00,0,0,0
1772908319,60,11.99,46,0,0
1772908619,151,14.71,54,0,0
1772908919,93,20.27,72,0,0
1772909219,152,18.59,56,0,0
1772909519,327,14.08,45,0,0
1772909819,54,14.71,58,0,0
1772910119,475,7.25,26,0,0
1772910419,251,16.65,93,0,0
1772910719,30,15.99,63,0,0
1772911019,74,13.06,46,0,0
1772911319,0,6.30,12,0,0
1772911619,12,4.37,12,0,0
1772911919,67,11.17,35,0,0
1772912219,1,15.19,53,0,0
1772912519,1,0.27,1,0,0
1772912819,0,0.00,0,0,0
1772913119,0,0.00,0,0,0
1772913419,0,0.00,0,0,0
1772913719,0,0.00,0,0,0
1772914019,0,0.00,0,0,0
1772914319,0,0.00,0,0,0
1772914619,0,0.00,0,0,0
1772914919,0,0.00,0,0,0
1772915219,0,0.00,0,0,0
1772915519,0,0.00,0,0,0
1772915819,0,0.00,0,0,0
1772916119,0,0.00,0,0,0
1772916419,0,0.00,0,0,0
1772916719,0,0.00,0,0,0
1772917019,0,0.00,0,0,0
1772917319,0,0.00,0,0,0
1772917619,0,0.00,0,0,0
1772917920,0,0.00,0,0,0
1772918220,0,0.19,2,0,0
1772918520,0,0.00,0,0,0
1772918820,0,0.00,0,0,0
1772919120,0,0.00,0,0,0
1772919420,0,0.00,0,0,0
1772919720,0,0.00,0,0,0
1772920020,0,0.00,0,0,0
1772920320,0,0.00,0,0,0
1772920620,0,0.00,0,0,0
1772920920,0,0.00,0,0,0
1772921220,0,0.00,0,0,0
1772921520,0,0.00,0,0,0
1772921820,0,0.00,0,0,0
1772922120,0,0.00,0,0,0
1772922420,0,0.00,0,0,0
1772922720,0,0.00,0,0,0
1772923020,0,0.00,0,0,0
1772923320,0,0.00,0,0,0
1772923620,0,0.00,0,0,0
1772923920,0,0.00,0,0,0
1772924220,0,0.00,0,0,0
1772924520,0,0.00,0,0,0
1772924820,0,0.00,0,0,0
1772925120,0,0.00,0,0,0
1772925420,0,0.00,0,0,0
1772925720,0,0.00,0,0,0
1772926020,0,0.00,0,0,0
1772926320,0,0.00,0,0,0
1772926620,0,0.00,0,0,0
cumulative,1748,184.77,674,0,0
